"id","submitdate","lastpage","startlanguage","seed","Consent[SQ01]","D1","D1[other]","D2","D3","D4","D5[SQ01]","D5[SQ02]","D5[SQ03]","D5[SQ04]","D5[other]","SSQ0[SQ01]","SSQ0[SQ02]","SSQ0[SQ03]","SSQ0[SQ04]","SSQ0[SQ05]","SSQ0[SQ06]","SSQ0[SQ07]","SSQ0[SQ08]","SSQ0[SQ09]","SSQ0[SQ10]","SSQ0[SQ11]","SSQ0[SQ12]","SSQ0[SQ13]","SSQ0[SQ14]","SSQ0[SQ15]","SSQ0[SQ16]","T1","COG1q1","COG1q2","COG1q3[SQ01]","COG1q3[SQ02]","COG1q3[SQ03]","COG1q3[SQ04]","COG1q3[SQ05]","COG1q3[SQ06]","COG1q3[SQ07]","COG1q3[SQ08]","COG1q3[SQ09]","COG1q3[SQ10]","COG1q4","SUS1q1","SUS1q2","SUS1q3","SUS1q4","SUS1q5","SUS1q6","SSQ1[SQ01]","SSQ1[SQ02]","SSQ1[SQ03]","SSQ1[SQ04]","SSQ1[SQ05]","SSQ1[SQ06]","SSQ1[SQ07]","SSQ1[SQ08]","SSQ1[SQ09]","SSQ1[SQ10]","SSQ1[SQ11]","SSQ1[SQ12]","SSQ1[SQ13]","SSQ1[SQ14]","SSQ1[SQ15]","SSQ1[SQ16]","T2","COG2q1","COG2q2","COG2q3[SQ01]","COG2q3[SQ02]","COG2q3[SQ03]","COG2q3[SQ04]","COG2q3[SQ05]","COG2q3[SQ06]","COG2q3[SQ07]","COG2q3[SQ08]","COG2q3[SQ09]","COG2q3[SQ10]","COG2q4","SUS2q1","SUS2q2","SUS2q3","SUS2q4","SUS2q5","SUS2q6","SSQ2[SQ01]","SSQ2[SQ02]","SSQ2[SQ03]","SSQ2[SQ04]","SSQ2[SQ05]","SSQ2[SQ06]","SSQ2[SQ07]","SSQ2[SQ08]","SSQ2[SQ09]","SSQ2[SQ10]","SSQ2[SQ11]","SSQ2[SQ12]","SSQ2[SQ13]","SSQ2[SQ14]","SSQ2[SQ16]","SSQ2[SQ15]","T3","COG3q1","COG3q2","COG3q3[SQ01]","COG3q3[SQ02]","COG3q3[SQ03]","COG3q3[SQ04]","COG3q3[SQ05]","COG3q3[SQ06]","COG3q3[SQ07]","COG3q3[SQ08]","COG3q3[SQ09]","COG3q3[SQ10]","COG3q4","SUS3q1","SUS3q2","SUS3q3","SUS3q4","SUS3q5","SUS3q6","SSQ3[SQ01]","SSQ3[SQ02]","SSQ3[SQ03]","SSQ3[SQ04]","SSQ3[SQ05]","SSQ3[SQ06]","SSQ3[SQ07]","SSQ3[SQ08]","SSQ3[SQ09]","SSQ3[SQ10]","SSQ3[SQ11]","SSQ3[SQ12]","SSQ3[SQ13]","SSQ3[SQ14]","SSQ3[SQ15]","SSQ3[SQ16]","T4","COG4q1","COG4q2","COG4q3[SQ01]","COG4q3[SQ02]","COG4q3[SQ03]","COG4q3[SQ04]","COG4q3[SQ05]","COG4q3[SQ06]","COG4q3[SQ07]","COG4q3[SQ08]","COG4q3[SQ09]","COG4q3[SQ10]","COG4q4","SUS4q1","SUS4q2","SUS4q3","SUS4q4","SUS4q5","SUS4q6","SSQ4[SQ01]","SSQ4[SQ02]","SSQ4[SQ03]","SSQ4[SQ04]","SSQ4[SQ05]","SSQ4[SQ06]","SSQ4[SQ07]","SSQ4[SQ08]","SSQ4[SQ09]","SSQ4[SQ10]","SSQ4[SQ11]","SSQ4[SQ12]","SSQ4[SQ13]","SSQ4[SQ14]","SSQ4[SQ15]","SSQ4[SQ16]","R1[1]","R1[2]","R1[3]","R1[4]"
"2","1980-01-01 00:00:00","20","en","1254633542","1","AO01","","38","AO04","AO04","1","0","0","1","","AO01","AO01","AO01","AO02","AO01","AO01","AO02","AO02","AO01","AO01","AO02","AO01","AO01","AO01","AO02","AO01","AO02","4","25","1","2","2","1","1","1","2","1","2","2","921","AO07","AO07","AO07","AO07","AO05","AO06","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","AO01","AO01","AO03","6","35","1","2","1","1","1","1","1","2","2","2","921","AO07","AO07","AO07","AO07","AO06","AO07","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO02","5","25","1","2","2","2","2","2","1","1","2","2","921","AO06","AO06","AO06","AO06","AO05","AO07","AO02","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO03","AO01","AO01","AO01","5","25","1","2","1","2","1","2","1","2","2","2","921","AO05","AO05","AO04","AO04","AO04","AO04","AO03","AO01","AO01","AO01","AO03","AO01","AO01","AO01","AO03","AO01","AO02","AO01","AO01","AO03","AO01","AO01","AO04","AO03","AO02","AO01"
"3","1980-01-01 00:00:00","20","en","926695155","1","AO01","","22","AO03","AO02","1","0","0","0","","AO01","AO02","AO01","AO01","AO02","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","2","20","2","2","2","2","1","1","2","1","1","1","784","AO05","AO04","AO05","AO05","AO03","AO04","AO04","AO01","AO02","AO02","AO02","AO02","AO01","AO04","AO02","AO03","AO02","AO04","AO04","AO02","AO01","AO01","AO02","5","25","1","2","1","2","2","1","2","2","3","2","784","AO05","AO05","AO03","AO04","AO03","AO03","AO02","AO02","AO01","AO02","AO01","AO01","AO01","AO02","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","2","20","2","2","2","2","1","2","2","2","1","1","784","AO02","AO02","AO04","AO03","AO02","AO02","AO02","AO01","AO01","AO02","AO02","AO01","AO01","AO02","AO02","AO02","AO02","AO02","AO03","AO01","AO01","AO01","AO04","2","20","2","2","2","1","1","1","1","1","1","2","784","AO05","AO05","AO05","AO05","AO03","AO05","AO02","AO02","AO01","AO01","AO02","AO01","AO01","AO01","AO02","AO02","AO01","AO02","AO03","AO01","AO02","AO01","AO04","AO02","AO01","AO03"
"4","1980-01-01 00:00:00","20","en","1466949841","1","AO02","","29","AO03","AO03","1","0","0","0","","AO02","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO02","AO03","AO01","AO01","AO02","1","5","3","3","3","3","2","1","2","3","3","3","4/7","AO04","AO05","AO05","AO05","AO04","AO05","AO02","AO01","AO02","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","1","9","2","3","2","3","2","3","2","2","1","3","4/7","AO03","AO02","AO03","AO02","AO03","AO02","AO02","AO01","AO01","AO01","AO03","AO01","AO01","AO01","AO03","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","1","8","2","2","2","2","1","1","2","3","3","3","4/7","AO02","AO02","AO02","AO02","AO01","AO02","AO02","AO02","AO01","AO01","AO02","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","1","12","2","2","2","3","1","1","2","1","1","2","4/7","AO04","AO05","AO04","AO05","AO05","AO05","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO03","AO02","AO01","AO04"
"5","1980-01-01 00:00:00","20","en","576427301","1","AO02","","23","AO03","AO02","1","0","0","1","","AO02","AO01","AO02","AO03","AO02","AO01","AO01","AO01","AO02","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO01","4","45","2","2","2","1","2","1","1","2","3","3","554","AO05","AO05","AO03","AO05","AO02","AO04","AO02","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO02","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO02","5","50","1","2","1","2","2","1","2","2","3","3","554","AO04","AO04","AO02","AO04","AO02","AO05","AO02","AO01","AO02","AO02","AO02","AO01","AO01","AO01","AO02","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO03","5","50","1","2","1","1","1","1","2","2","3","2","554","AO05","AO04","AO02","AO05","AO02","AO05","AO02","AO01","AO02","AO02","AO02","AO01","AO01","AO01","AO02","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO04","5","50","3","2","2","1","2","3","2","1","3","1","554","AO05","AO05","AO02","AO05","AO02","AO05","AO02","AO01","AO02","AO02","AO02","AO01","AO01","AO01","AO03","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO04","AO03","AO02"
"6","1980-01-01 00:00:00","20","en","351708795","1","AO01","","23","AO03","AO02","1","1","0","0","","AO01","AO01","AO01","AO02","AO02","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","5","20","2","3","2","3","3","1","2","3","1","1","211","AO07","AO06","AO07","AO06","AO02","AO05","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","5","20","1","2","1","2","2","1","1","2","1","1","211","AO06","AO06","AO06","AO06","AO06","AO05","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","5","25","1","2","1","1","2","3","2","2","3","2","211","AO04","AO05","AO05","AO05","AO05","AO04","AO01","AO01","AO01","AO01","AO03","AO01","AO01","AO01","AO03","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","5","20","2","2","3","1","2","2","2","1","1","2","211","AO06","AO07","AO06","AO06","AO06","AO05","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","AO04","AO01","AO02"
"7","1980-01-01 00:00:00","20","en","1202642231","1","AO02","","26","AO03","AO02","1","1","0","1","","AO01","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO03","3","15","2","1","2","3","1","1","2","1","1","3","677","AO07","AO06","AO07","AO07","AO05","AO07","AO02","AO02","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO02","AO02","AO02","AO01","AO02","AO01","AO01","AO02","3","18","2","1","2","2","2","1","3","3","1","1","677","AO05","AO05","AO03","AO06","AO02","AO05","AO02","AO02","AO02","AO02","AO03","AO01","AO01","AO01","AO03","AO03","AO02","AO02","AO01","AO02","AO01","AO01","AO01","5","20","2","1","1","1","1","1","2","3","1","2","677","AO06","AO06","AO06","AO06","AO05","AO06","AO01","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO04","3","25","2","1","3","3","2","1","2","1","1","3","677","AO06","AO05","AO05","AO05","AO04","AO05","AO02","AO03","AO02","AO02","AO03","AO01","AO01","AO01","AO03","AO03","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","AO04","AO02"
"8","1980-01-01 00:00:00","20","en","1550906971","1","AO02","","22","AO07","AO05","1","1","1","1","","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO02","6","12","2","2","2","2","2","1","2","1","1","3","017","AO05","AO04","AO05","AO05","AO04","AO05","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO02","AO01","AO02","AO01","AO02","AO01","AO01","AO01","AO01","AO01","7","14","2","2","1","1","2","1","2","2","1","2","017","AO06","AO06","AO05","AO06","AO06","AO06","AO01","AO02","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO04","6","12","2","2","1","1","1","1","2","2","1","2","017","AO07","AO06","AO07","AO06","AO06","AO07","AO01","AO02","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO03","6","12","2","2","2","1","2","2","2","1","1","3","017","AO07","AO07","AO07","AO07","AO07","AO06","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO02","AO01","AO01","AO01","AO01","AO03","AO04","AO01","AO02"
"9","1980-01-01 00:00:00","20","en","1852399296","1","AO02","","33","AO05","AO02","1","1","1","1","","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","4","30","2","2","1","2","2","1","2","3","2","1","092","AO07","AO06","AO05","AO06","AO04","AO05","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","35","30","2","2","1","1","2","1","2","2","1","1","092","AO06","AO05","AO05","AO05","AO04","AO04","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","4","35","1","2","1","2","1","1","1","1","3","3","092","AO07","AO05","AO05","AO05","AO04","AO05","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","5","40","2","2","2","2","2","1","2","2","2","3","092","AO06","AO05","AO05","AO05","AO05","AO05","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","AO04","AO02"
"10","1980-01-01 00:00:00","20","en","1142196823","1","AO02","","23","AO05","AO04","1","0","0","0","","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","6","25","3","2","1","3","2","1","3","1","3","3","319","AO04","AO02","AO05","AO06","AO04","AO03","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO03","6","18","3","2","1","2","2","1","1","2","1","3","319","AO05","AO04","AO06","AO05","AO05","AO05","AO03","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","3","20","3","2","1","3","2","3","2","2","3","2","319","AO04","AO05","AO04","AO04","AO05","AO05","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","5","45","2","2","2","3","2","3","3","1","3","1","319","AO06","AO06","AO06","AO06","AO06","AO06","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO04","AO03"
"11","1980-01-01 00:00:00","20","en","1624653525","1","AO02","","27","AO01","AO01","0","0","0","0","","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO03","5","10","2","1","1","1","2","1","1","2","1","2","902","AO04","AO03","AO06","AO03","AO06","AO06","AO02","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO02","5","20","1","2","1","2","2","1","1","1","2","1","902","AO02","AO02","AO05","AO02","AO02","AO02","AO02","AO01","AO02","AO02","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO02","AO01","AO02","AO01","AO01","AO01","10","20","1","2","1","1","2","1","1","1","1","2","902","AO05","AO04","AO06","AO05","AO06","AO05","AO01","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO04","15","20","2","2","1","1","2","1","2","1","1","1","902","AO05","AO05","AO06","AO05","AO06","AO06","AO01","AO01","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","AO01","AO02","AO01","AO01","AO02","AO01","AO04","AO03"
"12","1980-01-01 00:00:00","20","en","1602553455","1","AO02","","35","AO05","AO04","0","1","1","1","","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","8","5","3","2","2","1","2","1","2","3","1","1","410","AO06","AO06","AO05","AO07","AO05","AO06","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","7","8","2","2","1","2","2","1","2","2","1","1","410","AO07","AO06","AO06","AO06","AO06","AO06","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","6","12","1","2","1","2","2","1","2","2","3","1","410","AO05","AO06","AO07","AO06","AO06","AO06","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","8","14","2","2","2","1","2","3","2","1","1","1","410","AO06","AO07","AO06","AO07","AO07","AO07","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","AO04","AO01","AO02"
"13","1980-01-01 00:00:00","20","en","839028323","1","AO02","","33","AO01","AO01","0","0","0","0","","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","2","4","3","3","2","3","1","1","2","1","2","3","393","AO04","AO05","AO03","AO03","AO06","AO06","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","2","12","3","2","1","2","2","1","2","1","3","1","393","AO02","AO03","AO03","AO02","AO06","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","2","18","2","2","1","1","2","1","2","1","1","1","393","AO02","AO03","AO02","AO03","AO06","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","2","16","2","2","2","1","3","3","2","1","1","1","393","AO02","AO03","AO03","AO03","AO06","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","AO04","AO02"
"14","1980-01-01 00:00:00","20","en","1069606144","1","AO02","","28","AO04","AO03","1","0","1","1","","AO02","AO01","AO01","AO01","AO02","AO02","AO03","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO04","5","18","2","2","2","1","2","1","2","2","3","2","223","AO06","AO04","AO05","AO06","AO05","AO06","AO03","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO02","AO03","AO01","AO01","AO01","AO01","AO03","6","20","1","2","3","1","2","1","2","3","3","3","223","AO06","AO05","AO06","AO06","AO03","AO06","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","AO03","AO01","AO01","AO01","AO01","AO02","6","30","1","2","1","1","2","1","1","3","2","1","223","AO06","AO05","AO03","AO04","AO05","AO05","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","AO02","AO01","AO01","AO01","AO01","AO01","4","20","3","2","2","3","3","1","1","3","1","1","223","AO05","AO03","AO04","AO05","AO02","AO05","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO04","AO02","AO03","AO01"
"16","1980-01-01 00:00:00","20","en","1534884517","1","AO02","","25","AO04","AO03","1","1","1","1","","AO01","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO03","4","10","3","3","2","2","2","1","1","3","1","3","102","AO06","AO05","AO05","AO06","AO03","AO06","AO02","AO01","AO02","AO02","AO03","AO01","AO01","AO01","AO02","AO02","AO01","AO01","AO01","AO02","AO02","AO01","AO02","3","8","1","3","1","2","2","1","3","2","3","1","102","AO05","AO04","AO05","AO03","AO02","AO04","AO02","AO02","AO03","AO02","AO02","AO01","AO01","AO01","AO02","AO03","AO01","AO02","AO01","AO02","AO01","AO02","AO01","15","4","1","3","3","1","1","1","1","2","1","2","102","AO05","AO03","AO04","AO03","AO03","AO03","AO01","AO02","AO02","AO02","AO02","AO01","AO01","AO01","AO02","AO02","AO01","AO02","AO01","AO02","AO01","AO01","AO04","5","12","2","3","2","2","2","1","2","1","1","3","102","AO05","AO04","AO05","AO05","AO04","AO03","AO01","AO02","AO02","AO02","AO03","AO01","AO02","AO01","AO03","AO02","AO02","AO02","AO01","AO02","AO01","AO01","AO04","AO02","AO03","AO01"
"17","1980-01-01 00:00:00","20","en","915864271","1","AO02","","22","AO02","AO02","0","0","0","0","","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO02","6","50","2","2","2","3","2","1","1","2","1","3","089","AO05","AO04","AO05","AO03","AO06","AO03","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","6","50","1","3","1","3","2","1","2","2","3","3","089","AO06","AO05","AO06","AO03","AO06","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","6","30","1","2","1","1","1","1","2","2","1","3","089","AO06","AO03","AO05","AO02","AO06","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","6","75","2","3","2","1","2","2","2","1","1","3","089","AO04","AO03","AO05","AO02","AO04","AO02","AO03","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO02","AO01","AO01","AO01","AO04","AO02","AO01","AO03"
"18","1980-01-01 00:00:00","20","en","142996264","1","AO01","","28","AO07","AO07","1","1","0","1","","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","4","30","2","2","2","3","2","1","2","1","2","3","187","AO06","AO06","AO06","AO06","AO06","AO06","AO02","AO02","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","5","9","2","2","1","2","2","1","1","2","1","2","187","AO06","AO06","AO02","AO06","AO05","AO05","AO02","AO02","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO03","6","12","1","2","1","1","2","1","2","2","1","2","187","AO05","AO06","AO06","AO06","AO05","AO04","AO02","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO02","5","15","2","2","2","1","2","1","1","1","1","3","187","AO05","AO05","AO06","AO05","AO05","AO05","AO02","AO02","AO02","AO02","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","AO03","AO02"
"19","1980-01-01 00:00:00","20","en","1488474933","1","AO02","","28","AO02","AO02","1","0","0","0","","AO01","AO01","AO01","AO01","AO01","AO01","AO02","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO01","AO04","1","12","3","3","2","3","2","1","1","1","1","2","498","AO06","AO07","AO03","AO06","AO04","AO05","AO01","AO02","AO01","AO02","AO03","AO02","AO04","AO01","AO03","AO03","AO02","AO01","AO01","AO03","AO01","AO01","AO03","1","20","1","3","1","3","3","3","1","2","1","3","498","AO04","AO06","AO05","AO05","AO05","AO05","AO04","AO04","AO01","AO03","AO03","AO03","AO04","AO04","AO03","AO04","AO01","AO01","AO01","AO04","AO01","AO01","AO02","1","20","2","2","1","3","2","1","2","2","1","3","498","AO05","AO05","AO05","AO05","AO05","AO06","AO02","AO03","AO01","AO02","AO03","AO02","AO03","AO03","AO03","AO03","AO01","AO01","AO01","AO04","AO01","AO01","AO01","1","10","3","3","3","1","3","3","2","1","3","2","498","AO03","AO03","AO04","AO03","AO03","AO02","AO04","AO04","AO01","AO03","AO04","AO03","AO04","AO04","AO04","AO03","AO01","AO01","AO01","AO04","AO01","AO01","AO04","AO02","AO01","AO03"

